yil;ay;otorite_adi;istasyon_adi;tekil_yolcu_sayisi;toplam_yolculuk_sayisi
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;EMINONU BOGAZ;56639;106578
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Fener;9397;15105
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;BUYUKADA;45416;97886
2024;3;TURYOL - S.S. TURIZM VE YOLCU DENIZ TASIYICILAR KOOPERATIFI;Üsküdar;32121;68619
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;BURGAZADA;10451;22824
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Eyüp;20108;27914
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Ayvansaray;1317;1994
2024;3;ISTANBUL SEHIR HATLARI TUR. SAN. VE TIC. AS.;İstinye;12266;31322
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;EMINONU KADIKOY;140510;220284
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;;31070;64825
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Anadolu Hisarı;7852;17387
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Eminönü - Üsküdar;132893;211711
2024;3;ISTANBUL SEHIR HATLARI TUR. SAN. VE TIC. AS.;Çubuklu Arabalı;10956;28157
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;BOSTANCI;2051;5132
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Yeni Kabataş;12875;21356
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;KADIKOY ESKI;156342;238714
2024;3;DENTUR - AVRASYA DENIZ TAS.TUR.HIZ.INS.SAN.TIC. AS.;Üsküdar;276981;682824
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Beykoz;6749;13566
2024;3;DENTUR - AVRASYA DENIZ TAS.TUR.HIZ.INS.SAN.TIC. AS.;YENI Kabataş;45912;106171
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Kadıköy (Eski);17256;29151
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Büyükdere;2291;3337
2024;3;S.S. ISTANBUL KARTAL DENIZ YOL YUK VE TURZ TAS MOTORLU TAS KOOP;;409;433
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Rumeli Kavağı;2328;3755
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Kanlıca;2828;4803
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;KINALIADA;8033;18025
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Bebek;7863;13118
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Bostancı;15023;30622
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Beşiktaş;21970;34637
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Ortaköy;8141;12552
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Sarıyer;12144;23839
2024;3;IDO-ISTANBUL DENIZ OTD. SAN. VE TIC. A.S.;Harem;12974;22012
2024;3;SINIRLI SORUMLU MAVI MARMARA TURIZM DENIZ YOLCU VE YUK TASIMA VE ISLETME KOOPERATIFI;Bostancı;40617;86523
2024;3;S.S. ISTANBUL KARTAL DENIZ YOL YUK VE TURZ TAS MOTORLU TAS KOOP;Kartal;19838;52770
2024;4;IDO-ISTANBUL DENIZ OTD. SAN. VE TIC. A.S.;Sirkeci-Harem;17674;29949
2024;4;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;BARBAROS;131398;194796
2024;4;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Anadolu Kavağı;13176;19437
2024;4;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Üsküdar;243810;381994
2024;4;IDO-ISTANBUL DENIZ OTD. SAN. VE TIC. A.S.;Harem;16398;28136
2024;4;IDO-ISTANBUL DENIZ OTD. SAN. VE TIC. A.S.;Yeni Kabataş;7;7
2024;4;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Arnavutköy;7723;13462
2024;4;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Beşiktaş;35981;53581
2024;4;S.S. ISTANBUL KARTAL DENIZ YOL YUK VE TURZ TAS MOTORLU TAS KOOP;Heybeliada;12634;23236
2024;4;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;KINALIADA;19622;34613
